bioguide_id,state,party,first_name,last_name,gender,twitter
B000944,OH,Democrat,Sherrod,Brown,M,SenSherrodBrown
C000127,WA,Democrat,Maria,Cantwell,F,SenatorCantwell
C000141,MD,Democrat,Benjamin,Cardin,M,SenatorCardin
C000174,DE,Democrat,Thomas,Carper,M,SenatorCarper
C001070,PA,Democrat,Robert,Casey,M,SenBobCasey
C001071,TN,Republican,Bob,Corker,M,SenBobCorker
F000062,CA,Democrat,Dianne,Feinstein,F,SenFeinstein
H000338,UT,Republican,Orrin,Hatch,M,SenOrrinHatch
K000367,MN,Democrat,Amy,Klobuchar,F,
M001170,MO,Democrat,Claire,McCaskill,F,McCaskillOffice
M000639,NJ,Democrat,Robert,Menéndez,M,SenatorMenendez
N000032,FL,Democrat,Bill,Nelson,M,SenBillNelson
S000033,VT,Independent,Bernard,Sanders,M,SenSanders
S000770,MI,Democrat,Debbie,Stabenow,F,SenStabenow
T000464,MT,Democrat,Jon,Tester,M,SenatorTester
W000802,RI,Democrat,Sheldon,Whitehouse,M,SenWhitehouse
B001261,WY,Republican,John,Barrasso,M,SenJohnBarrasso
W000437,MS,Republican,Roger,Wicker,M,SenatorWicker
A000360,TN,Republican,Lamar,Alexander,M,SenAlexander
C000567,MS,Republican,Thad,Cochran,M,SenThadCochran
C001035,ME,Republican,Susan,Collins,F,SenatorCollins
C001056,TX,Republican,John,Cornyn,M,JohnCornyn
D000563,IL,Democrat,Richard,Durbin,M,SenatorDurbin
E000285,WY,Republican,Michael,Enzi,M,SenatorEnzi
G000359,SC,Republican,Lindsey,Graham,M,GrahamBlog
I000024,OK,Republican,James,Inhofe,M,InhofePress
M000355,KY,Republican,Mitch,McConnell,M,McConnellPress
M001176,OR,Democrat,Jeff,Merkley,M,SenJeffMerkley
R000122,RI,Democrat,John,Reed,M,SenJackReed
R000584,ID,Republican,James,Risch,M,SenatorRisch
R000307,KS,Republican,Pat,Roberts,M,SenPatRoberts
S001181,NH,Democrat,Jeanne,Shaheen,F,SenatorShaheen
U000039,NM,Democrat,Tom,Udall,M,SenatorTomUdall
W000805,VA,Democrat,Mark,Warner,M,MarkWarner
G000555,NY,Democrat,Kirsten,Gillibrand,F,SenGillibrand
C001088,DE,Democrat,Chris,Coons,M,SenCoonsOffice
M001183,WV,Democrat,Joe,Manchin,M,Sen_JoeManchin
B001230,WI,Democrat,Tammy,Baldwin,F,SenatorBaldwin
B001267,CO,Democrat,Michael,Bennet,M,SenBennetCo
B001277,CT,Democrat,Richard,Blumenthal,M,SenBlumenthal
B000575,MO,Republican,Roy,Blunt,M,RoyBlunt
B001236,AR,Republican,John,Boozman,M,JohnBoozman
B001135,NC,Republican,Richard,Burr,M,SenatorBurr
C001047,WV,Republican,Shelley,Capito,F,SenCapito
C001075,LA,Republican,Bill,Cassidy,M,
C000880,ID,Republican,Michael,Crapo,M,MikeCrapo
D000607,IN,Democrat,Joe,Donnelly,M,SenDonnelly
F000444,AZ,Republican,Jeff,Flake,M,JeffFlake
G000562,CO,Republican,Cory,Gardner,M,SenCoryGardner
G000386,IA,Republican,Charles,Grassley,M,ChuckGrassley
H001046,NM,Democrat,Martin,Heinrich,M,MartinHeinrich
H001042,HI,Democrat,Mazie,Hirono,F,MazieHirono
H001061,ND,Republican,John,Hoeven,M,SenJohnHoeven
I000055,GA,Republican,John,Isakson,M,SenatorIsakson
J000293,WI,Republican,Ron,Johnson,M,SenRonJohnson
L000575,OK,Republican,James,Lankford,M,SenatorLankford
L000174,VT,Democrat,Patrick,Leahy,M,SenatorLeahy
L000577,UT,Republican,Mike,Lee,M,SenMikeLee
M000133,MA,Democrat,Edward,Markey,M,SenMarkey
M000303,AZ,Republican,John,McCain,M,SenJohnMcCain
M000934,KS,Republican,Jerry,Moran,M,JerryMoran
M001153,AK,Republican,Lisa,Murkowski,F,LisaMurkowski
M001169,CT,Democrat,Christopher,Murphy,M,senmurphyoffice
M001111,WA,Democrat,Patty,Murray,F,PattyMurray
P000603,KY,Republican,Rand,Paul,M,
P000595,MI,Democrat,Gary,Peters,M,SenGaryPeters
P000449,OH,Republican,Robert,Portman,M,SenRobPortman
R000595,FL,Republican,Marco,Rubio,M,SenRubioPress
S000148,NY,Democrat,Charles,Schumer,M,SenSchumer
S001184,SC,Republican,Tim,Scott,M,SenatorTimScott
S000320,AL,Republican,Richard,Shelby,M,SenShelby
T000250,SD,Republican,John,Thune,M,SenJohnThune
T000461,PA,Republican,Patrick,Toomey,M,SenToomey
V000128,MD,Democrat,Chris,Van Hollen,M,ChrisVanHollen
W000779,OR,Democrat,Ron,Wyden,M,RonWyden
Y000064,IN,Republican,Todd,Young,M,SenToddYoung
H001041,NV,Republican,Dean,Heller,M,SenDeanHeller
S001194,HI,Democrat,Brian,Schatz,M,SenBrianSchatz
C001095,AR,Republican,Tom,Cotton,M,SenTomCotton
D000622,IL,Democrat,Tammy,Duckworth,F,SenDuckworth
W000817,MA,Democrat,Elizabeth,Warren,F,SenWarren
K000383,ME,Independent,Angus,King,M,SenAngusKing
D000618,MT,Republican,Steve,Daines,M,SteveDaines
H001069,ND,Democrat,Heidi,Heitkamp,F,SenatorHeitkamp
F000463,NE,Republican,Deb,Fischer,F,SenatorFischer
C001098,TX,Republican,Ted,Cruz,M,SenTedCruz
K000384,VA,Democrat,Timothy,Kaine,M,
